Name	Type	Location	Price
"Chong Pang CC SCEC: Movie Night at Chong Pang ""Blooms of Happiness"""	Social & Community Events	Chong Pang CC	$0.00 
Chong Pang Dance Fit Club (Jan to Dec 2025)	Social & Community Events	Chong Pang CC	$24.00 
Chong Pang Pets Day 2025	Social & Community Events	Chong Pang CC	$0.00 
Community Learning Journey To Singapore Discovery Centre [Chong Pang CC]	Social & Community Events	Chong Pang CC	$10.00 
Nee Soon GRC SG60 Outing to Mandai Bird Paradise & Rainforest Wild Asia [Chong Pang CC]	Social & Community Events	Chong Pang CC	From $0.00 to $30.00
Responders Plus Programme by Singapore Civil Defence Force	Social & Community Events	Chong Pang CC	$0.00 
Silat (HealthierSG)	Fitness & Wellness	Chong Pang CC	From $6.00 to $7.00
Soap Making Workshop	Workshops & Classes	Chong Pang CC	$10.00 
Weekly K-Kardio Dance® [Every Sunday @ 10.15am to 11.15am] (HealthierSG)	Social & Community Events	Chong Pang CC	From $0.00 to $5.00
Weekly Pickleball Sports Interest Group [Session 1 : Every Friday @ 6.30pm to 9.30pm]	Social & Community Events	Chong Pang CC	$0.00 
Weekly Taiji Push Hand [Every Tuesday @ 7pm to 9pm] (HealthierSG)	Social & Community Events	Chong Pang CC	From $0.00 to $5.00
Adventure Awaits @ Rainforest Wild Asia	Social & Community Events	Chong Pang Zone 2 RN	From $10.00 to $15.00
Chong Pang Zone 3 RN Holiday Series: A Day of Fun!	Social & Community Events	Chong Pang Zone 3 RN	$2.00 
North West Brisk Walking Club @ Chong Pang Zone '4' RC (HealthierSG)	Social & Community Events	Chong Pang Zone 4 RC	$0.00 
(CCK CSN) Dance and Wellness - 1 Jan to 31 Dec 2025	Social & Community Events	Chua Chu Kang CC	$24.00 
(CCK CSN) Fun Walk - 19 Apr 2025	Social & Community Events	Chua Chu Kang CC	$0.00 
(CCK CSN) Fun Walk - 5 Apr 2025	Social & Community Events	Chua Chu Kang CC	$0.00 
(CCK) Baking Together	Social & Community Events	Chua Chu Kang CC	$0.00 
(CCK) Crochet Workshop for Beginners	Workshops & Classes	Chua Chu Kang CC	$0.00 
(CCK) Recycled Mini Gardens: Family-friendly Terrarium Workshop	Workshops & Classes	Chua Chu Kang CC	$0.00 
Belly Dance - Advanced (HealthierSG) (Chua Chu Kang)	Workshops & Classes	Chua Chu Kang CC	From $160.00 to $170.00
CCK Enchanted Garden - 16 Mar 2025	Social & Community Events	Chua Chu Kang CC	$0.00 
CCK Enchanted Garden - 22 Mar 2025	Social & Community Events	Chua Chu Kang CC	$0.00 
CCK Enchanted Garden - 23 Mar 2025	Social & Community Events	Chua Chu Kang CC	$0.00 
CCK Enchanted Garden - 30 Mar 2025	Social & Community Events	Chua Chu Kang CC	$0.00 
"CCK English Toastmasters member renewal, Oct 2024- Mar 2025"	Social & Community Events	Chua Chu Kang CC	$105.00 
CCK Mandarin Toastmasters Membership/ Speechcraft (Sep 2024 - Aug 2025)	Social & Community Events	Chua Chu Kang CC	$220.00 
CCK PAssionArts Hotspot - 22 Mar 2025	Social & Community Events	Chua Chu Kang CC	$0.00 
Chinese Calligraphy	Workshops & Classes	Chua Chu Kang CC	From $110.00 to $120.00
Chua Chu Kang GRC & Hong Kah North SMC Family Day 2025 (CCK)	Social & Community Events	Chua Chu Kang CC	From $28.00 to $38.00
English Toastmasters Club Membership (New member) Nov 2024 to Mar 2025	Social & Community Events	Chua Chu Kang CC	$113.00 
English Toastmasters Club Membership (New member) Sept 2024 - Mar 2025	Social & Community Events	Chua Chu Kang CC	$148.00 
English Toastmasters Club Membership (renewal) April 2025 - March 2026	Social & Community Events	Chua Chu Kang CC	$210.00 
Fun With Ukulele	Workshops & Classes	Chua Chu Kang CC	From $50.00 to $55.00
Guzheng (Adult) - Elementary	Workshops & Classes	Chua Chu Kang CC	From $125.00 to $135.00
Guzheng (Adult) - Intermediate	Workshops & Classes	Chua Chu Kang CC	From $185.00 to $195.00
Hari Raya Shopping At Geylang Serai	Social & Community Events	Chua Chu Kang CC	$2.00 
Hatha Yoga (Elementary) (HealthierSG)	Fitness & Wellness	Chua Chu Kang CC	From $55.00 to $60.00
Hatha Yoga (Intermediate) (HealthierSG)	Fitness & Wellness	Chua Chu Kang CC	From $60.00 to $65.00
Mandarin Toastmaster (1 April 2025 to 31 March 2026)	Social & Community Events	Chua Chu Kang CC	From $95.00 to $220.00
Mandarin Toastmasters New Member Fees (Feb 2025 - Mar 2025)	Social & Community Events	Chua Chu Kang CC	$46.00 
Mandarin toastmasters renewal Sept 2024 - Aug 2025	Social & Community Events	Chua Chu Kang CC	$190.00 
Recreational Folk Dance (Intermediate) (HealthierSG)	Workshops & Classes	Chua Chu Kang CC	From $32.00 to $39.00
Recreational Karaoke Dialect Singing (Hokkien)	Workshops & Classes	Chua Chu Kang CC	From $80.00 to $85.00
Rhythmic Yoga (HealthierSG)	Fitness & Wellness	Chua Chu Kang CC	From $100.00 to $110.00
SkillsFuture@PA Basic Digital Photography	Workshops & Classes	Chua Chu Kang CC	From $200.00 to $210.00
SkillsFuture@PA PC DIY in 9 Hours + Hands-On	Workshops & Classes	Chua Chu Kang CC	From $140.00 to $145.00
SkillsFuture@PA PC Preparation in 9 Hours + Hands-On	Workshops & Classes	Chua Chu Kang CC	From $140.00 to $145.00
Zumba® Fitness (HealthierSG)	Fitness & Wellness	Chua Chu Kang CC	From $95.00 to $100.00
Line Dance (Adult) - Elementary (HealthierSG)	Workshops & Classes	Chua Chu Kang Zone 2 RN	$45.00 
Line Dance (Adult) - Elementary (HealthierSG)	Workshops & Classes	Chua Chu Kang Zone 3 RN	From $55.00 to $65.00
Line Dance (Adult) - Intermediate (HealthierSG)	Workshops & Classes	Chua Chu Kang Zone 3 RN	From $50.00 to $60.00
Recreational Karaoke Folk Singing (Mandarin)	Workshops & Classes	Chua Chu Kang Zone 3 RN	From $70.00 to $80.00
[CCKZ4] Outing to the Singapore Flyer	Social & Community Events	Chua Chu Kang Zone 4 RC	From $15.00 to $30.00
[CCKZ4] Popmart Pen Making Working	Social & Community Events	Chua Chu Kang Zone 4 RC	$3.00 
[AMKHG AAC] Leisure Walk to Punggol Waterway Park and GIANT Hypermarket	Social & Community Events	Ci Yuan CC	$2.00 
"Ang Mo Kio GRC, Kebun Baru & Yio Chu Kang SMCs Table Tennis Tournament 2025 (Ang Mo Kio-Hougang)"	Social & Community Events	Ci Yuan CC	$40.00 
Ang Mo Kio-Hougang CSN Netball Clinic 2025	Social & Community Events	Ci Yuan CC	$2.00 
Ci Yuan CC WEC - Dance Fit Club 2025	Social & Community Events	Ci Yuan CC	$50.00 
Han Tang Chinese Guzheng Concert 汉唐之声 - 茉莉花古筝音乐会 2025	Social & Community Events	Ci Yuan CC	$5.00 
Hatha Yoga (Intermediate) (HealthierSG)	Fitness & Wellness	Ci Yuan CC	From $72.00 to $82.00
Line Dance (Adult) - Elementary (HealthierSG)	Workshops & Classes	Ci Yuan CC	From $45.00 to $55.00
Line Dance (Adult) - Intermediate (HealthierSG)	Workshops & Classes	Ci Yuan CC	From $55.00 to $65.00
Lowrey Piano (Beginner)	Workshops & Classes	Ci Yuan CC	From $295.00 to $305.00
Lowrey Piano (Grade 1A)	Workshops & Classes	Ci Yuan CC	From $324.00 to $334.00
Pilates - Matwork for Beginners (HealthierSG)	Fitness & Wellness	Ci Yuan CC	From $90.00 to $100.00
PILOXING® Barre (HealthierSG)	Fitness & Wellness	Ci Yuan CC	From $50.00 to $60.00
Puthandu Dinner and Show 2025	Social & Community Events	Ci Yuan CC	$10.00 
Taijiquan (HealthierSG)	Fitness & Wellness	Ci Yuan CC	From $55.00 to $65.00
Upcycle Workshop - Pair of Harmony Lanterns	Workshops & Classes	Ci Yuan CC	$0.00 
Zumba® Fitness (HealthierSG)	Fitness & Wellness	Ci Yuan CC	From $50.00 to $60.00
Taijiquan (HealthierSG)	Fitness & Wellness	Clementi Avenue 2 RC	From $40.00 to $50.00
AAC Workplan	Social & Community Events	Clementi CC	$0.00 
Bowling IG (April 25)	Social & Community Events	Clementi CC	$6.00 
Clementi MAEC - Buka Puasa @ Clementi (22/3/2025 Saturday - $0.00)	Social & Community Events	Clementi CC	$0.00 
Fun with Art	Workshops & Classes	Clementi CC	From $130.00 to $140.00
Guzheng (Adult) - Elementary	Workshops & Classes	Clementi CC	From $125.00 to $135.00
Hatha Yoga (Elementary) (HealthierSG)	Fitness & Wellness	Clementi CC	From $60.00 to $70.00
Hatha Yoga (Intermediate) (HealthierSG)	Fitness & Wellness	Clementi CC	From $63.00 to $73.00
SkillsFuture@PA Basic Make Up	Fitness & Wellness	Clementi CC	From $160.00 to $170.00
SkillsFuture@PA Hairstyling (Elementary)	Fitness & Wellness	Clementi CC	From $160.00 to $170.00
SkillsFuture@PA Interior Design & Renovation-Elementary	Workshops & Classes	Clementi CC	From $480.00 to $500.00
SkillsFuture@PA Unisex Hair Cutting Course Module 1	Fitness & Wellness	Clementi CC	From $200.00 to $210.00
SkillsFuture@PA Unisex Hair Cutting Course Module 2	Fitness & Wellness	Clementi CC	From $220.00 to $230.00
Walk a Jog @ Ave 2	Social & Community Events	Clementi CC	$0.00 
Walk a Jog @ Zone 3	Social & Community Events	Clementi CC	$0.00 
CLEMENTI HEIGHTS KARAOKE SESSION ON 27 MAR 25	Social & Community Events	Clementi Heights RC	$3.00 
Community Responder Plus Programme (RPP) - 12/04/2025	Social & Community Events	Clementi Heights RC	$0.00 
HEIGHTS KARAOKE SESSIION ON 13 MAR 25	Social & Community Events	Clementi Heights RC	$3.00 
HEIGHTS KARAOKE SESSION ON 20 MAR 25	Social & Community Events	Clementi Heights RC	$3.00 
Clementi Woods Park	Outdoor & Nature	"Clementi Road next to Kent Vale, along West Coast Road next to Ginza Plaza"	$0.00 
Friday Karaoke Interest Group Singing	Social & Community Events	Clementi Zone 1 RC	$20.00 
Clementi Zone 3 - The Wings of Time: Fireworks Symphony @ Sentosa (28/3/2025)	Social & Community Events	Clementi Zone 3 RC	$0.00 
Clementi Zone 3 RC - Volcanic Shrimp Marimo Moss Aquarium Workshop (20/4/25)	Workshops & Classes	Clementi Zone 3 RC	$25.00 
Qigong 18 Movements (HealthierSG)	Fitness & Wellness	Clementi Zone 4 RC	$30.00 
Inline Skating (Beginners) (HealthierSG)	Fitness & Wellness	Coastar RC	$100.00 
Mixed Media Art	Workshops & Classes	Compassvale Ancilla RC	$96.00 
Aspella Block Party 272A & 272B	Social & Community Events	Compassvale Aspella RC	$0.00 
Fun with Keyboard (Beginner)	Workshops & Classes	Compassvale Aspella RC	$220.00 
Taekwondo (Singapore Taekwondo Federation) (HealthierSG)	Fitness & Wellness	Compassvale Aspella RC	$80.00 
Block Party by Compassvale Coris RC	Social & Community Events	Compassvale Coris RC	$0.00 
Compassvale Gardens RC - Family Fun Bowling 2025	Social & Community Events	Compassvale Gardens RC	$40.00 
Compassvale Gardens RC - Yakult Factory Tour & Northpoint City Shopping Trip	Social & Community Events	Compassvale Gardens RC	$5.00 
Compassvale Green RN - $0.00 Seniors Haircut (March'25)	Social & Community Events	Compassvale Green RN	$0.00 
Haven RC March Holiday Student Engagement Study Space	Social & Community Events	Compassvale Haven RC	$0.00 
Compassvale Helm RN Confidence On Wheels Programme	Social & Community Events	Compassvale Helm RN	$0.00 
Compassvale Helm RN Presents School Holiday Fun Slime Workshop	Workshops & Classes	Compassvale Helm RN	$12.00 
Fun with Keyboard	Workshops & Classes	Compassvale Helm RN	$216.00 
Compassvale Lodge RC - Hari Raya Workshop Plushie 3D Ketupat Sewing	Workshops & Classes	Compassvale Lodge RC	$20.00 
Crochet & Knitting (Stage I)	Workshops & Classes	Compassvale Lodge RC	$110.00 
Taekwondo (Singapore Taekwondo Federation) (HealthierSG)	Fitness & Wellness	Compassvale Lodge RC	$80.00 
Compassvale Mast RN - Chocolate Banana Cupcake Baking Workshop@ Buangkok CC	Workshops & Classes	Compassvale Mast RN	$10.00 
Artistic Expression for Children (Compassvale Plains)	Workshops & Classes	Compassvale Plains RN	$160.00 
Compassvale Plains RN: Hari Raya Festive Pack	Social & Community Events	Compassvale Plains RN	$0.00 
Recreational Karaoke Classical Singing (Mandarin)	Workshops & Classes	Compassvale Plains RN	$80.00 
Taekwondo (Singapore Taekwondo Federation) (HealthierSG)	Fitness & Wellness	Compassvale Southgate RC	$45.00 
Compassvale Villa RC - Balik Kampong @ National Museum - 24 March 2025	Social & Community Events	Compassvale Villa RC	$0.00 
Compassvale Villa RC - Dutch Pour Art Workshop - 22 April 2025	Workshops & Classes	Compassvale Villa RC	$10.00 
Compassvale Villa RC - Dutch Pour Art Workshop - 8 April 2025	Workshops & Classes	Compassvale Villa RC	$10.00 
Compassvale Villa RC (Youth Chapter) - Soar with the Wind Family Day - 13 April 2025	Social & Community Events	Compassvale Villa RC	$5.00 
Crochet & Knitting (Stage I)	Workshops & Classes	Compassvale Villa RC	$70.00 
Wushu (HealthierSG)	Fitness & Wellness	Compassvale Villa RC	$90.00 
Indian Classical Dance (Adult) - Elementary (HealthierSG)	Workshops & Classes	Compassvale Vista RN	$120.00 
Indian Classical Dance (Children) - Elementary	Workshops & Classes	Compassvale Vista RN	$120.00 
Karate (HealthierSG)	Fitness & Wellness	Compassvale Vista RN	$120.00 
Chinese Calligraphy	Workshops & Classes	Coral Heights RN	$85.00 
Recreational Karaoke Pop Singing (Mandarin)	Workshops & Classes	Coral Ris RN	$140.00 
Costa Ris Fire Evacuation Exercise 2025	Social & Community Events	Costa Ris RN	$0.00 
Fun with Keyboard	Workshops & Classes	Costa Ris RN	$216.00 
Breakfast With Love @ Kampong Glam (April 2025)	Social & Community Events	Crawford RN	$0.50 
Food Distribution @ Crawford (13 March 2025)	Social & Community Events	Crawford RN	$0.00 
Food Distribution @ Crawford (14 March 2025)	Social & Community Events	Crawford RN	$0.00 
Food Distribution @ Crawford (15 March 2025)	Social & Community Events	Crawford RN	$0.00 
Zumba @Kg Glam (31 March 2025)	Social & Community Events	Crawford RN	$0.00 
Residents' Party @ Signature	Social & Community Events	Criterion-Signature RN	$0.00 
Residents' Party @ The Criterion	Social & Community Events	Criterion-Signature RN	$0.00 
Karate (HealthierSG)	Fitness & Wellness	Delta RC	$100.00 
East Canberra Zone 1 Raya Shopping Spree @ Kampong Gelam Ramadan Bazaar	Social & Community Events	East Canberra Zone 1 RN	$2.00 
Eastvale RN Community Breakfast 2025 - Townhall Session	Social & Community Events	Eastvale RN	$2.00 
ERNC Micro Engagement with Fairmount Condo Residents	Social & Community Events	Eastwood Ria NC	$0.00 
Elias View RN Jalan Jalan Mandai Boardwalk - March 2025	Social & Community Events	Elias View RN	$5.00 
NIPPON AQUAPONICS FARM TOUR	Social & Community Events	Eng Kong And Cheng Soon RN	$5.00 
PASIR RIS PARK BEACH CLEANUP	Social & Community Events	Esparis RN	$0.00 
Yoga @ Esparis	Social & Community Events	Esparis RN	$72.00 
Zumba @ Esparis	Social & Community Events	Esparis RN	$104.00 
Indian National Army Monument	Cultural & Heritage	Esplanade Park	$0.00 
The Cenotaph	Cultural & Heritage	"Esplanade Park, Connaught Drive"	$0.00 
(March 2025) Mass Buka Puasa @ Eunos	Social & Community Events	Eunos CC	$0.00 
Taekwondo (Singapore Taekwondo Federation) (HealthierSG)	Fitness & Wellness	Eunos CC	From $32.00 to $42.00
(March 2025) Eunos Zone 1 RN Decoupage of Tissue Box Holder Workshop	Workshops & Classes	Eunos Zone 1 RN	$5.00 
(March 2025) Eunos Zone 1 RN Riang Ria Hari Raya	Social & Community Events	Eunos Zone 1 RN	$6.00 
(March 2025) Eunos Zone 3 RN Tamil Karaoke	Social & Community Events	Eunos Zone 3 RN	$5.00 
Advance Knitting Course - Stick and Crochet Knitting (Eunos)	Workshops & Classes	Eunos Zone 7 RN	From $110.00 to $120.00
Rhythmic Yoga Works	Fitness & Wellness	"Far East Shopping Centre, Postal Code: 188091"	$100.00 to $110.00
[Fengshan Acacia RN] Outing to Yakult Factory (18 Mar 2025)	Social & Community Events	Fengshan Acacia RN	From $4.00 to $6.00
Taekwondo (Singapore Taekwondo Academy) (HealthierSG)	Fitness & Wellness	Fengshan Acacia RN	From $90.00 to $100.00
[Fengshan Aspen RN - 2025] Movie Night | Trolls Band Together - 19 April 2025	Social & Community Events	Fengshan Aspen RN	$0.00 
[Fengshan Aspen RN] BBQ Pit Booking - 2025	Social & Community Events	Fengshan Aspen RN	$10.00 
Soccer (HealthierSG)	Fitness & Wellness	Fengshan Aspen RN	From $50.00 to $55.00
"(Every Sat), Fengshan CC WEC Dance Fit Club 2025"	Social & Community Events	Fengshan CC	$80.00 
[Fengshan CC WEC] Crochet Coaster Workshop (29 Mar 2025)	Workshops & Classes	Fengshan CC	$20.00 
[Fengshan CC] Music Room Booking #03-10	Social & Community Events	Fengshan CC	From $10.00 to $100.00
[Fengshan CSN x WEC] 2K Brisk Walk and Intertidal Learning Journey	Social & Community Events	Fengshan CC	$15.00 
Badminton (HealthierSG) (Fengshan)	Fitness & Wellness	Fengshan CC	From $60.00 to $70.00
Ballroom Latin (Adult) - Elementary (HealthierSG)	Workshops & Classes	Fengshan CC	From $100.00 to $110.00
Children's Art (Fengshan)	Workshops & Classes	Fengshan CC	From $85.00 to $95.00
Fascia Stretch Yin Movement Therapeutic Yoga (HealthierSG)	Fitness & Wellness	Fengshan CC	From $138.00 to $146.00
Fengshan MAEC - Ramadan Porridge and Chicken Briyani Distribution 2025	Social & Community Events	Fengshan CC	$0.00 
Fengshan MAEC Hari Raya Celebration on 19 April 2025	Social & Community Events	Fengshan CC	$0.00 
Fengshan Youth Network - Paddles On Wheels 12 April 2025	Social & Community Events	Fengshan CC	$0.00 
Fengshan Youth Network_Running Club IG	Social & Community Events	Fengshan CC	$0.00 
Indian Cooking Demonstration	Social & Community Events	Fengshan CC	$3.00 
Line Dance (Adult) - Intermediate (HealthierSG)	Workshops & Classes	Fengshan CC	$5.00 
Table Flower Arrangement Workshop	Workshops & Classes	Fengshan CC	$28.00 
Thoughtful Thursdays at Fengshan CC with Weaving Happiness	Social & Community Events	Fengshan CC	$0.00 
Variety Baking Workshop for Adults	Food & Beverage	Fengshan CC	From $110.00 to $120.00
Yin Yang Yoga (HealthierSG)	Fitness & Wellness	Fengshan CC	From $118.00 to $126.00
Fengshan Cedar RN - Coffee Time March 2025	Social & Community Events	Fengshan Cedar RN	$0.00 
Fengshan Cedar RN - Kickboxing March 2025 (HPB)	Social & Community Events	Fengshan Cedar RN	$0.00 
Fengshan Cedar RN - Litter Picking Exercise 27 March 2025	Social & Community Events	Fengshan Cedar RN	$0.00 
Fengshan Cedar RN - Zumba Gold March 2025 (HPB)	Social & Community Events	Fengshan Cedar RN	$0.00 
[April 2025] Happy Program	Social & Community Events	Fengshan Maple RN	$0.00 
[August 2025] Happy Program	Social & Community Events	Fengshan Maple RN	$0.00 
[December 2025] Happy Program	Social & Community Events	Fengshan Maple RN	$0.00 
[July 2025] Happy Program	Social & Community Events	Fengshan Maple RN	$0.00 
[June 2025] Happy Program	Social & Community Events	Fengshan Maple RN	$0.00 
[March 2025] Happy Program	Social & Community Events	Fengshan Maple RN	$0.00 
[May 2025] Happy Program	Social & Community Events	Fengshan Maple RN	$0.00 
[November 2025] Happy Program	Social & Community Events	Fengshan Maple RN	$0.00 
[October 2025] Happy Program	Social & Community Events	Fengshan Maple RN	$0.00 
[September 2025] Happy Program	Social & Community Events	Fengshan Maple RN	$0.00 
Fengshan Mulberry - SG Clean and Green Day on 13 April 2025	Social & Community Events	Fengshan Mulberry RN	$0.00 
Fengshan Pine RN: SG Clean and Green Day on 13 April 2025	Social & Community Events	Fengshan Pine RN	$0.00 
[Fengshan AAC/SCEC x Fengshan Rosewood RN - 2025] Wellness Interchange - 29 March 2025	Social & Community Events	Fengshan Rosewood RN	$0.00 
"Ang Mo Kio GRC, Kebun Baru & Yio Chu Kang SMCs Table Tennis Tournament 2025 (Fernvale)"	Social & Community Events	Fernvale CC	$40.00 
Ballet - Primary Level (Fernvale)	Workshops & Classes	Fernvale CC	From $55.00 to $60.00
Cakemaking (Fernvale)	Food & Beverage	Fernvale CC	From $40.00 to $50.00
Cardio Mix ® (HealthierSG)	Fitness & Wellness	Fernvale CC	From $110.00 to $120.00
Chill Lah! Fernvale Family Carnival 2025	Social & Community Events	Fernvale CC	$5.00 
Crochet & Knitting (Stage I)	Workshops & Classes	Fernvale CC	From $65.00 to $70.00
Fernvale CC IAEC - Holi@Fernvale (Festival of Colour 2025)	Social & Community Events	Fernvale CC	From $12.00 to $17.00
Fernvale CC SCEC - Dance IG (19 March)	Social & Community Events	Fernvale CC	$0.00 
Fernvale CC SCEC - Dance IG (26 March)	Social & Community Events	Fernvale CC	$0.00 
Fernvale CSN - Labrador Nature & Coastal Walk	Social & Community Events	Fernvale CC	$5.00 
Fernvale PACF Soccer Clinic	Social & Community Events	Fernvale CC	$0.00 
Fernvale Youth Network - Kayak N Klean	Social & Community Events	Fernvale CC	$8.00 
Hatha Yoga (Elementary) (HealthierSG)	Fitness & Wellness	Fernvale CC	From $90.00 to $100.00
Karate (HealthierSG)	Fitness & Wellness	Fernvale CC	From $100.00 to $110.00
Line Dance (Adult) - Intermediate (HealthierSG)	Workshops & Classes	Fernvale CC	From $60.00 to $70.00
Lowrey Piano (Grade 1A)	Workshops & Classes	Fernvale CC	$324.00 
Lowrey Piano (Grade 2A)	Workshops & Classes	Fernvale CC	$356.00 
Pilates - Matwork for Beginners (HealthierSG)	Fitness & Wellness	Fernvale CC	From $100.00 to $110.00
Taekwondo Bootcamp	Social & Community Events	Fernvale CC	$60.00 
Variety Baking Workshop for Adults	Food & Beverage	Fernvale CC	From $40.00 to $50.00
Variety Cooking Workshop for Adults	Food & Beverage	Fernvale CC	From $50.00 to $60.00
Yin Yoga (HealthierSG)	Fitness & Wellness	Fernvale CC	From $85.00 to $93.00
Yoga Burn (HealthierSG)	Fitness & Wellness	Fernvale CC	From $90.00 to $100.00
Yoga Core (HealthierSG)	Fitness & Wellness	Fernvale CC	From $90.00 to $100.00
Zumba® Fitness (HealthierSG)	Fitness & Wellness	Fernvale CC	From $50.00 to $55.00
Fernvale Riverfront RN - 1 Day Candle Making Workshop	Workshops & Classes	Fernvale Riverfront RN	$30.00 
Taekwondo (Singapore Taekwondo Federation) (HealthierSG)	Fitness & Wellness	Fernvale Zone A RN	$80.00 
[Fernvale Zone B RN] Trial Class - Zumba Gold	Workshops & Classes	Fernvale Zone B RN	$0.00 
[Fernvale Zone B RN] Trial Class - Zumba Kids	Workshops & Classes	Fernvale Zone B RN	$0.00 
Fernvale Zone C RN - Molly Bus @ 432A (30 March 2025)	Social & Community Events	Fernvale Zone C RN	$0.00 
Fernvale Zone C RN Ezi-Cash-For-Trash @ Blk 432B (22 March 2025)	Social & Community Events	Fernvale Zone C RN	$0.00 
Fernvale Zone D RN - Brick Art Interest Group	Social & Community Events	Fernvale Zone D RN	$0.00 
Taekwondo (Singapore Taekwondo Federation) (HealthierSG)	Fitness & Wellness	Fernvale Zone D RN	$60.00 
Fernvale Zone E RN - School Holiday Upcycling Workshop	Workshops & Classes	Fernvale Zone E RN	$2.00 
Children's Art (Fernvale)	Workshops & Classes	Fernvale Zone F RN	From $160.00 to $165.00
Recreational Karaoke Dialect Singing (Cantonese)	Workshops & Classes	Fernvale Zone G RN	$85.00 
Fernvale Zone I RN - New Hyundai Factory Tour (G1)	Social & Community Events	Fernvale Zone I RN	$3.00 
Fernvale Zone I RN - New Hyundai Factory Tour (G2)	Social & Community Events	Fernvale Zone I RN	$3.00 
Inline Skating (Beginners) (HealthierSG)	Fitness & Wellness	Fernvale Zone I RN	$120.00 
Fernvale Zone K RN - Police Heritage Centre & PUB Sustainable Gallery Tour	Social & Community Events	Fernvale Zone K RN	$0.00 
Fernvale Zone K RN - Upcycling workshop	Workshops & Classes	Fernvale Zone K RN	$0.00 
[FNC] House Visit at Avila Gardens	Social & Community Events	Flora NC	$0.00 
Fruit Party @ Azalea Park	Social & Community Events	Flora NC	$0.00 
The Gale CPR/AED Workshop	Workshops & Classes	Flora NC	$0.00 
Nanyang Value Deal for Westwood Residences	Social & Community Events	Floravale-Westwood Residences RN	$1.00 
Fort Canning Park	Outdoor & Nature	"Fort Canning Park is bounded by Hill Street, Canning Rise, Clemenceau Avenue and River Valley Road"	$0.00 
Fun with Keyboard	Workshops & Classes	Gateway View RN	From $220.00 to $230.00
Hatha Yoga (Elementary) (HealthierSG)	Fitness & Wellness	Gateway View RN	$110.00 
Inline Skating (Beginners) (HealthierSG)	Fitness & Wellness	Gateway View RN	$100.00 
GPC Porridge Distribution: 15/03/2025	Social & Community Events	Gek Poh Central RN	$0.00 
Inline Skating (Intermediate) (HealthierSG)	Fitness & Wellness	Gek Poh Central RN	From $100.00 to $110.00
Krav Maga Self-Defense (HealthierSG)	Fitness & Wellness	Gek Poh Central RN	From $60.00 to $70.00
Taekwondo (Singapore Taekwondo Federation) (HealthierSG)	Fitness & Wellness	Gek Poh North RN	From $90.00 to $99.00
Aikido (HealthierSG) (Gek Poh Ville)	Fitness & Wellness	Gek Poh Ville CC	From $107.00 to $117.00
Ayer Rajah-Gek Poh - Indian Food Delights - Poori with Chana Masala & Potato Curry	Social & Community Events	Gek Poh Ville CC	$5.00 
"Gek Poh Ville CC Mother's Day Celebration 2025: Honouring Moms, Pampering kids!"	Social & Community Events	Gek Poh Ville CC	$5.00 
Guitar Pop (Intermediate)	Workshops & Classes	Gek Poh Ville CC	From $95.00 to $105.00
Guzheng (Adult) - Intermediate	Workshops & Classes	Gek Poh Ville CC	From $180.00 to $190.00
Hatha Yoga (Advanced) (HealthierSG)	Fitness & Wellness	Gek Poh Ville CC	From $75.00 to $85.00
Hatha Yoga (Elementary) (HealthierSG)	Fitness & Wellness	Gek Poh Ville CC	From $50.00 to $55.00
Hatha Yoga (Intermediate) (HealthierSG)	Fitness & Wellness	Gek Poh Ville CC	From $60.00 to $70.00
Social Dance (Adult) - Elementary (HealthierSG)	Workshops & Classes	Gek Poh Ville CC	From $75.00 to $85.00
Recreational Karaoke Pop Singing (Mandarin)	Workshops & Classes	Geylang East Grove RN	$80.00 
Ballroom Modern (Adult) - Elementary (HealthierSG) (Geylang Serai)	Workshops & Classes	Geylang Serai CC	From $110.00 to $130.00
Ballroom Modern (Adult) - Intermediate (HealthierSG) (Geylang Serai)	Workshops & Classes	Geylang Serai CC	From $130.00 to $140.00
Cakemaking (Geylang Serai)	Food & Beverage	Geylang Serai CC	From $40.00 to $50.00
Capteh Showdown 2025	Social & Community Events	Geylang Serai CC	$15.00 
Chinese Restaurant Cooking Workshop	Food & Beverage	Geylang Serai CC	From $120.00 to $130.00
GSCC WEC Line Dance Jam SSK 14/3/25	Social & Community Events	Geylang Serai CC	$5.00 
GSCC WEC Line Dance Jam SSK 16/3/25	Social & Community Events	Geylang Serai CC	$5.00 
Hatha Yoga (Elementary) (HealthierSG)	Fitness & Wellness	Geylang Serai CC	From $75.00 to $85.00
Recreational Folk Dance (Elementary) (HealthierSG)	Workshops & Classes	Geylang Serai CC	From $40.00 to $50.00
Recreational Karaoke Pop Singing (Mandarin)	Workshops & Classes	Geylang Serai CC	From $108.00 to $118.00
Variety Cooking Workshop for Adults	Food & Beverage	Geylang Serai CC	From $50.00 to $60.00
(GWWEC) SIP Shake & Create: Koi Bubble Tea Experience	Social & Community Events	Geylang West CC	$30.00 
GW SCEC - Retro Night into 60's	Social & Community Events	Geylang West CC	$10.00 
GWWEC: International Women Day - Line Dance Tea Party	Social & Community Events	Geylang West CC	$5.00 
Hand Bouquet	Workshops & Classes	Geylang West CC	From $39.00 to $45.00
Hatha Yoga (Elementary) (HealthierSG)	Fitness & Wellness	Geylang West CC	From $70.00 to $75.00
