Name	Type	Location	Price
Maghain Aboth Synagogue	Cultural & Heritage	24/26 Waterloo Street	$0.00 
Sri Mariamman Temple	Cultural & Heritage	244 South Bridge Road	$0.00 
Tampines Secondary School	Fitness & Wellness	252 Tampines St 12	$0.00 
Sultan Mosque	Cultural & Heritage	3 Muscat Street	$0.00 
Loyang Primary School	Fitness & Wellness	3 Pasir Ris Drive 6	$0.00 
PARKROYAL on Pickering	Cultural & Heritage	3 Upper Pickering Street	$0.00 
Woodgrove Secondary School	Fitness & Wellness	3 Woodlands Ave 6	$0.00 
CHIJMES	Cultural & Heritage	30 Victoria Street	$0.00 
New Town Primary School	Fitness & Wellness	300 Tanglin Halt Road	$0.00 
Yio Chu Kang Secondary School	Fitness & Wellness	3063 Ang Mo Kio Avenue 5	$0.00 
Reflections at Bukit Chandu	Cultural & Heritage	31 - K Pepys Rd	$0.00 
Hort Park - The Gardening Hub	Outdoor & Nature	"33 Hyderabad Road, Off Alexandra Road"	$0.00 
The Southern Ridges	Outdoor & Nature	"33 Hyderabad Road, Off Alexandra Road"	$0.00 
Former Ford Factory	Cultural & Heritage	351 Upper Bukit Timah Rd	$0.00 
The Peranakan Museum	Cultural & Heritage	39 Armenian St	$18.00 
Peranakan Museum	Cultural & Heritage	39 Armenian Street	$0.00 
Singapore Art Museum	Cultural & Heritage	39 Keppel Rd	$0.00 
Xinghua Primary School	Fitness & Wellness	45 Hougang Ave 1	$0.00 
Shuqun Secondary School	Fitness & Wellness	450 Jurong East St 21	$0.00 
Chinatown Heritage Centre	Cultural & Heritage	48 Pagoda Street	$0.00 
Indian Heritage Centre	Cultural & Heritage	5 Campbell Ln	$0.00 
Xingnan Primary School	Fitness & Wellness	5 Jurong West Street 91	$0.00 
Zhang De Primary School	Fitness & Wellness	51 Jalan Membina	$0.00 
North View Secondary School	Fitness & Wellness	530 Yishun Ring Road	$0.00 
ArtScience Museum	Cultural & Heritage	6 Bayfront Ave	$0.00 
Armenian Church	Cultural & Heritage	60 Hill Street	$0.00 
Temasek Secondary School	Fitness & Wellness	600 Upper East Coast Road	$0.00 
Kranji Secondary School	Fitness & Wellness	61 Choa Chu Kang Street 51	$0.00 
West Spring Secondary School	Fitness & Wellness	61 Senja Road	$0.00 
River Safari	Cultural & Heritage	80 Mandai Lake Road	$0.00 
Singapore Zoo	Cultural & Heritage	80 Mandai Lake Road	$0.00 
Malay Heritage Centre	Cultural & Heritage	85 Sultan Gate	$0.00 
Gillman Barracks	Cultural & Heritage	9 Lock Road	$0.00 
Kranji War Memorial	Cultural & Heritage	9 Woodlands Road	$0.00 
Naval Base Secondary School	Fitness & Wellness	901 Yishun Ring Road	$0.00 
