Name,Location,Type,Time,Price
Rice Dumpling Making Workshop,Kampong Chai Chee CC,Food & Beverage,2:30 PM - 5:30 PM,From $40.00 to $50.00
Rice Dumpling Making Workshop,Kampong Chai Chee CC,Food & Beverage,6:30 PM - 9:00 PM,From $40.00 to $50.00
Rice Dumpling Making Workshop,Kampong Chai Chee CC,Food & Beverage,2:30 PM - 5:30 PM,From $40.00 to $50.00
Home Cooking / Variety Cooking,Pasir Ris East CC,Food & Beverage,6:30 PM - 9:00 PM,From $120.00 to $130.00
Variety Cooking Workshop for Adults,Pasir Ris East CC,Food & Beverage,2:30 PM - 5:00 PM,From $50.00 to $60.00
Variety Cooking Workshop for Adults,Pasir Ris East CC,Food & Beverage,2:30 PM - 5:00 PM,From $50.00 to $60.00
Variety Cooking Workshop for Adults,Pasir Ris East CC,Food & Beverage,2:30 PM - 5:00 PM,From $50.00 to $60.00
Variety Cooking Workshop for Adults,Pasir Ris East CC,Food & Beverage,2:30 PM - 5:00 PM,From $40.00 to $50.00
Variety Cooking Workshop for Adults,Pasir Ris East CC,Food & Beverage,2:30 PM - 5:00 PM,From $40.00 to $50.00
Variety Cooking Workshop for Adults,Pasir Ris East CC,Food & Beverage,2:30 PM - 5:00 PM,From $40.00 to $50.00
Variety Cooking Workshop for Adults,Pasir Ris East CC,Food & Beverage,2:30 PM - 5:00 PM,From $40.00 to $50.00
Malay Cooking (Intermediate),Henderson CC,Food & Beverage,6:30 PM - 9:30 PM,From $35.00 to $45.00
Malay Cooking (Intermediate),Henderson CC,Food & Beverage,6:30 PM - 9:30 PM,From $30.00 to $40.00
Variety Cooking Workshop for Adults,Geylang Serai CC,Food & Beverage,2:00 PM - 5:00 PM,From $50.00 to $60.00
Variety Cooking Workshop for Adults,Geylang Serai CC,Food & Beverage,2:00 PM - 5:00 PM,From $50.00 to $60.00
Variety Cooking Workshop for Adults,Geylang Serai CC,Food & Beverage,2:00 PM - 5:00 PM,From $50.00 to $60.00
Variety Cooking Workshop for Adults,Geylang Serai CC,Food & Beverage,2:00 PM - 5:00 PM,From $60.00 to $70.00
Chinese Restaurant Cooking Workshop,Geylang Serai CC,Food & Beverage,6:45 PM - 9:45 PM,From $120.00 to $130.00
Japanese healthy home-style cooking,Hillview CC,Food & Beverage,2:00 PM - 4:00 PM,$28.00
Korean Kim-bap Making (Parent-Child),Impact@Hong Lim Green,Food & Beverage,2:00 PM - 4:00 PM,From $35.00 to $50.00
Bento Workshop,Buangkok CC,Food & Beverage,2:00 PM - 4:00 PM,From $40.00 to $50.00
Home Cooking / Variety Cooking,Jalan Besar CC,Food & Beverage,6:00 PM - 9:00 PM,From $35.00 to $45.00
Healthy Cooking Workshop (Demo),Radin Mas CC,Food & Beverage,10:30 AM - 12:30 PM,From $30.00 to $40.00
Bento Workshop,Tampines Central CC,Food & Beverage,2:00 PM - 4:00 PM,From $40.00 to $50.00
Variety Cooking Workshop for Adults,Tampines East CC,Food & Beverage,1:00 PM - 4:00 PM,From $50.00 to $60.00
Variety Cooking Workshop for Adults,Tampines East CC,Food & Beverage,1:00 PM - 4:00 PM,From $50.00 to $60.00
Bento Workshop,Tiong Bahru CC,Food & Beverage,2:00 PM - 4:00 PM,From $40.00 to $50.00
Chinese Restaurant Cooking,Tampines West CC,Food & Beverage,6:45 PM - 9:45 PM,From $120.00 to $130.00
Home Cooking Workshop,Toa Payoh West CC,Food & Beverage,2:30 PM - 5:00 PM,From $30.00 to $40.00
Healthy Cooking Workshop (Demo),Toa Payoh West CC,Food & Beverage,2:00 PM - 4:00 PM,From $30.00 to $40.00
Zumba® Fitness (HealthierSG),Braddell Heights CC,Workshops & Classes,10:15 AM - 11:15 AM,From $90.00 to $100.00
Ballet - Primary Level,Fernvale CC,Workshops & Classes,5:00 PM - 5:45 PM,From $55.00 to $60.00
Ballet (Children) - Grade 1,Fernvale CC,Workshops & Classes,5:00 PM - 6:00 PM,From $60.00 to $65.00
Ballet (Children) - Grade 2,Fernvale CC,Workshops & Classes,6:15 PM - 7:15 PM,From $65.00 to $70.00
Ballet (Children) - Grade 1,Fengshan CC,Workshops & Classes,10:15 AM - 11:15 AM,From $120.00 to $130.00
Ballet (Children) - Primary,Fengshan CC,Workshops & Classes,11:15 AM - 12:00 PM,From $110.00 to $120.00
Ballet (Children) - Grade 2,Fengshan CC,Workshops & Classes,12:00 PM - 1:00 PM,From $130.00 to $140.00
Ballroom Latin (Adult) - Elementary (HealthierSG),Fengshan CC,Workshops & Classes,7:30 PM - 9:00 PM,From $100.00 to $110.00
